编号,店名,address,维度,经度,分区,分类,电话,类别
306658,大姐小吃,体育场路,30.04707629,119.9235583,杭州市;富阳区,美食;小吃快餐, ,3997
306856,紫藤楼,小垄2,30.05793573,119.9563671,杭州市;富阳区,建筑房产;住宅小区, ,3997
307495,长城海鲜大酒店-东南门,迎宾北路,30.07553012,119.9404311,杭州市;富阳区,基础设施;门/出入口, ,3997
307567,saunter,东门东路5附近,29.96937334,119.7313373,杭州市;富阳区,美食;其它美食, ,2368
308593,丁香花园蓝庭6幢,富春文昌路飞虹?丁香花园,30.05774742,119.9302032,杭州市;富阳区,建筑房产;住宅小区, ,3997
308602,富春丁香幼托园,金桥北路188丁香花园蓝庭3号,30.05812528,119.931632,杭州市;富阳区,教育学校;幼儿园, ,3997
309034,丰裕房产,西堤路118-38号,30.05068007,119.945616,杭州市;富阳区,生活服务;中介机构,0571-63331979,3997
309961,隔壁烘焙,孙权路70号,30.05820872,119.9412515,杭州市;富阳区,美食;面包甜点, ,3997
310168,果乐多果都,安泰精品(新兴路南),29.96702283,119.7324176,杭州市;富阳区,购物;农贸市场,15958039865,2368
310231,Hello QiQi,春秋南路53号,30.04598066,119.9402737,杭州市;富阳区,购物;服饰鞋包, ,3997
310240,Hello小姐服饰店,桂花西路138之8-11号附近,30.05103404,119.9384156,杭州市;富阳区,购物;服饰鞋包, ,3997
311383,好视力眼镜,新登新城街62号-1-2,29.97179626,119.7265469,杭州市;富阳区,购物;眼镜店, ,2368
311455,黑树甜品,东方茂D栋4楼新世界电影院内,30.05153023,119.9282651,杭州市;富阳区,美食;面包甜点,13732262778,3997
311581,红鱼馆,春永线,30.05236291,120.060547,杭州市;富阳区,美食;中餐厅, ,2124
311617,胡子大酒楼,富乘线与金城北路交叉口西南150米,29.99080033,119.7379173,杭州市;富阳区,美食;中餐厅, ,2368
311662,蚌先生,苋浦西路312,30.05382454,119.9321319,杭州市;富阳区,美食;小吃快餐,13456951883,3997
311752,华渭休闲乐园,东洲街道新沙岛,30.04922922,119.994039,杭州市;富阳区,美食;烧烤, ,2124
311959,鸡蛋仔遇到冰淇淋(新登店),秉贤街42号,29.97073638,119.726407,杭州市;富阳区,美食;冷饮店,15068198729,2368
311977,吉味屋小料理,富春富宸?江滨18号公馆西,30.04463477,119.9433298,杭州市;富阳区,美食;日韩菜,0571-63130909,3997
312553,大桐洲,桐洲岛(蒋大线南),29.88752408,119.8006436,杭州市;富阳区,地名地址;自然地名, ,2124
312625,三亚南方水泥公司,渌渚镇山亚村,29.87736392,119.7533488,杭州市;富阳区,公司企业;公司企业,0571-63298588,2368
312967,蒋二线与南新线交叉口, ,29.90184693,119.7624687,杭州市;富阳区,基础设施;路口, ,2368
313264,一天,孙权路104之附近,30.05759316,119.9388745,杭州市;富阳区,休闲娱乐;酒吧, ,3997
313444,后周蒋家桥99号楼,富春后周蒋家桥99号楼(蒋家桥路),30.06461429,119.9434879,杭州市;富阳区,建筑房产;住宅小区, ,3997
313471,杭州市富阳区市场监督管理局灵桥市场监督管理所,灵桥镇赵家墩路99号,30.02671687,120.025703,杭州市;富阳区,机构团体;政府机关, ,2124
314443,富阳潮澜贸易有限公司,大桥南路东200米,30.03008519,119.975338,杭州市;富阳区,公司企业;公司企业, ,2124
314794,老地方夜宵,永兴路70,30.05951317,119.9260159,杭州市;富阳区,美食;烧烤,18268865133,3997
315415,杭州柯乐涂料有限公司,上陈村上陈路8号第1幢,30.11398813,119.8853436,杭州市;富阳区,公司企业;公司企业, ,3997
315820,乐园美味,西堤南路380号,30.03835515,119.9378473,杭州市;富阳区,美食;中餐厅,0571-23205607; 0571-63128732,3997
315910,临安昌化山核桃,龙浦街100-4,30.05426268,119.957625,杭州市;富阳区,购物;农贸市场,15958152163,3997
315973,杭州富阳市盈泰纸业有限公司,飞马路36,30.01139028,119.9587363,杭州市;富阳区,公司企业;公司企业,0571-63586588,2124
315991,裕丰村,春江街道裕丰村,30.00732038,119.9700424,杭州市;富阳区,地名地址;行政地名, ,2124
316000,浙江三星热电有限公司,春江浙江三星热电有限公司(蔡伦路),30.01001951,119.9549636,杭州市;富阳区,公司企业;公司企业, ,2124
316009,杭州三星纸业有限公司,三星纸业有限公司(井纸路西),30.00917529,119.9645544,杭州市;富阳区,公司企业;公司企业,0571-63580986,2124
316018,富阳市春胜纸业有限公司销售中心,春江街道江南路77号,30.01762638,119.9714383,杭州市;富阳区,公司企业;公司企业, ,2124
316027,竹简路, ,30.01498809,119.9778332,杭州市;富阳区,基础设施;道路名, ,2124
316063,蔡伦路, ,30.01573753,119.9780227,杭州市;富阳区,基础设施;道路名, ,2124
316081,金昌纸业,金昌纸业(同登路北),30.01001312,119.9761178,杭州市;富阳区,公司企业;公司企业,0571-63151788,2124
316090,远洋科技,远洋科技(赤亭纸路东),30.00798412,119.9530173,杭州市;富阳区,公司企业;公司企业, ,2124
316099,金枫纸业,春江金枫纸业(江南路北),30.01327393,119.9530768,杭州市;富阳区,公司企业;公司企业, ,2124
316108,飞龙纸业有限公司,飞龙纸业有限公司(飞马路西),30.0050055,119.960653,杭州市;富阳区,公司企业;公司企业, ,2124
316126,富阳区东大化工有限公司,金昌路附近,30.01070466,119.9790206,杭州市;富阳区,公司企业;公司企业,0571-63150000,2124
316144,春江街道春江社区卫生服务站,春江街道春江村,30.02681085,119.9623776,杭州市;富阳区,医疗保健;综合医院, ,2124
316153,富阳陆加益贸易有限公司,春江新中线直塘公寓,30.01909575,119.9716577,杭州市;富阳区,公司企业;公司企业,0571-63582929,2124
316162,乌石下,春江街道乌石下,30.00013041,119.9503027,杭州市;富阳区,地名地址;行政地名, ,2124
316171,华共社区卫生服务站,春江新中线北(希望幼儿园北),30.01636086,119.9624084,杭州市;富阳区,医疗保健;综合医院,0571-63580913,2124
316180,富阳市田丰纸业有限公司,春江街道山坎上,30.00346359,119.9532673,杭州市;富阳区,公司企业;公司企业, ,2124
316189,飞飞台球,江南路168号临江村村委会附近,30.01554575,119.9605124,杭州市;富阳区,运动健身;台球馆, ,2124
316198,杭州三星纸业公司东区,井纸路与蔡伦路交叉口往南300米路西,30.00925417,119.9649735,杭州市;富阳区,公司企业;公司企业, ,2124
316207,元春车行,春江华腾电脑(江南路南),30.01558802,119.9634962,杭州市;富阳区,购物;自行车专卖,13588373181,2124
316216,新中线与竹简路交叉口, ,30.01919194,119.9764961,杭州市;富阳区,基础设施;路口, ,2124
316225,中国移动观凤指定专营店,新中线区块(西)002,30.01533066,119.9624883,杭州市;富阳区,购物;数码家电, ,2124
316279,生根水泥五金店,江南路168,30.01573206,119.9619494,杭州市;富阳区,购物;家具家居建材,13606510067,2124
316315,富阳农商银行ATM(春江支行华共分理处),春江富阳农商银行(新中线南),30.01581594,119.9642845,杭州市;富阳区,银行金融;自动提款机, ,2124
316342,富阳华伦纸业有限公司工会委员会,元书路与江南路交叉口北200米,30.0190424,119.9692732,杭州市;富阳区,机构团体;社会团体, ,2124
317008,龙隐山庄,新登镇双江村内,29.96890961,119.7439425,杭州市;富阳区,美食;中餐厅, ,2368
318106,我家有面,双溪路口公交站(登城南路),29.96799298,119.7320775,杭州市;富阳区,美食;小吃快餐,15888832771,2368
318322,安利,金浦路280-6,30.05879513,119.9244569,杭州市;富阳区,购物;化妆品,0571-63371995,3997
318349,每日鲜果汁NO.760,春秋南路141,30.04415034,119.9404536,杭州市;富阳区,美食;冷饮店, ,3997
318430,吉米屋台式便当(宝龙店),文居街923号(宝龙广场内),30.06030181,119.9182689,杭州市;富阳区,美食;小吃快餐,15757197120,3997
318655,思梅内部清洗抛光封釉抛光打蜡,兴达路与孙权路交叉口北100米,30.05874794,119.9416509,杭州市;富阳区,汽车;汽车养护, ,3997
318691,面包新语(富阳银泰店),春秋北路271号玉长城商业广场F1,30.06291667,119.9368764,杭州市;富阳区,美食;面包甜点, ,3997
319222,杭州富阳起航科技有限公司,新兴路140号,30.0553827,119.9443175,杭州市;富阳区,公司企业;公司企业,0571-23293332; 15958025523,3997
319501,莲池张牛杂面牛排面,皇嘉家私广场(新兴路北),29.96730323,119.7316175,杭州市;富阳区,美食;小吃快餐,0571-23291277,2368
320158,尚品房产,苋浦西路29号,30.05363446,119.9434489,杭州市;富阳区,生活服务;中介机构,13634131511,3997
320275,金典美宏化妆品店,春江街道大桥南路288号嘉和尚品购物中心(汽车南站旁)一楼,30.02266052,119.9769747,杭州市;富阳区,购物;化妆品, ,2124
320302,艾尚时尚服饰,蒋家村嘉和尚品超市对面,29.99828225,119.8974671,杭州市;富阳区,购物;服饰鞋包, ,3997
320320,品尚私人形象设计工作室,春秋北路200号万星碧云天公寓2幢5楼504室,30.05804105,119.9400131,杭州市;富阳区,生活服务;美容美发, ,3997
320500,Queen(步行街),大寺弄与步行街交叉口东50米,30.05030422,119.9528242,杭州市;富阳区,购物;服饰鞋包, ,3997
320527,珊珊零食,世纪联华(新登登城店)南50米,29.96651265,119.7328078,杭州市;富阳区,购物;其它购物,13868174041,2368
322570,丽2shop,新城街27号附近,29.97114473,119.7288669,杭州市;富阳区,购物;服饰鞋包, ,2368
322606,GRAND SHOP全鲜,西堤南路69号,30.04049246,119.9393254,杭州市;富阳区,购物;农贸市场,0571-63331766,3997
323110,杭州汽轮染整机械公司,东洲工业园区13号路12号,30.07199245,120.0489577,杭州市;富阳区,公司企业;公司企业,0571-87195128,2124
323596,浙江振和大药房连锁有限公司康泰店,西堤北路12-3,30.0534859,119.9475827,杭州市;富阳区,医疗保健;药房药店, ,3997
323938,桂花西路(西堤路口)[公交站],富阳12,30.05082692,119.9461661,杭州市;富阳区,基础设施;公交车站, ,3997
324487,河马水果(桂花店),桂花西路152-4,30.05113555,119.9375666,杭州市;富阳区,购物;农贸市场,0571-26290802,3997
324496,河马水果(丁香花园店),文教北路306,30.05799145,119.9340597,杭州市;富阳区,购物;农贸市场,18069435192,3997
324748,阿莲水果店,富春第一幼儿园(政府东南),30.04973291,119.9575455,杭州市;富阳区,购物;农贸市场, ,3997
324865,红云水果店,高桥镇高桥东路20号,30.09819438,119.9379722,杭州市;富阳区,购物;农贸市场, ,3997
324973,原生态水果,北门北路26号,30.05602214,119.9536922,杭州市;富阳区,购物;农贸市场,18072739036,3997
325036,爱尚水果,富春街228,30.04946406,119.9528942,杭州市;富阳区,购物;农贸市场,13695582180,3997
325072,杭州科技职业技术学院水果超市,大学路附近,30.09046053,119.8906926,杭州市;富阳区,购物;农贸市场, ,3997
325495,富阳区春江中学,江南中学东南门(雁沙路西),30.03196256,119.9577466,杭州市;富阳区,教育学校;中学,0571-63500082,2124
325612,杭州市富阳区银湖街道受降小学,320国道银湖街道受降小学,30.1298283,119.959006,杭州市;富阳区,教育学校;小学, ,3997
325648,中共汤家埠村委员会,学校路6号附近,29.98216124,119.9046233,杭州市;富阳区,机构团体;政府机关, ,3997
325684,杭州老鹰画室富阳校区,金桥北路916号老鹰画室,30.0862903,119.9279925,杭州市;富阳区,教育学校;培训,0571-23235707,3997
325837,杭州纯画室美术培训部,上宋街193,30.13371904,119.9663602,杭州市;富阳区,教育学校;培训, ,3997
326170,塔乐斯(富阳店),上青岭高科路198号(华联超市对面),30.0879313,119.894447,杭州市;富阳区,美食;小吃快餐,15168283035,3997
326251,茵曼棉麻艺术家,金桥北路61号东方茂购物广场1楼,30.05086026,119.9282452,杭州市;富阳区,购物;服饰鞋包,13616537199,3997
326395,虹美玻璃艺术馆,孙权路157,30.05665453,119.9381155,杭州市;富阳区,购物;家具家居建材,0571-63591953,3997
326620,忆溪缘糕点,春秋南路7-1号,30.05028085,119.9401535,杭州市;富阳区,美食;面包甜点,18607010361,3997
327466,田旺科技防水,高桥西路351号附近,30.09760433,119.9319984,杭州市;富阳区,购物;家具家居建材, ,3997
327907,梧桐树,达夫路22,30.0497994,119.9548705,杭州市;富阳区,购物;服饰鞋包, ,3997
328213,龙城喜糖批发,登城南路9-3,29.9656025,119.7331579,杭州市;富阳区,购物;烟酒专卖,0571-63218285; 15990142880,2368
328249,杭州溪园宾馆,场口镇叶盛村101号,29.91966798,119.8804018,杭州市;富阳区,酒店宾馆;旅馆招待所,0571-63530288,2124
328672,开小灶家宴,公望街82号,30.0710596,119.9457641,杭州市;富阳区,美食;中餐厅,0571-61700818,3997
328699,向日葵,新兴路2-5,30.05200209,119.9446273,杭州市;富阳区,购物;服饰鞋包,15858188611,3997
328717,富阳市向日葵培训学校-西南门,兴达路158号附近,30.05526838,119.9552793,杭州市;富阳区,基础设施;门/出入口, ,3997
328744,享通小饭棺,红旗村(近宏运金属),30.05802644,120.0257702,杭州市;富阳区,美食;小吃快餐, ,2124
330706,一品香(富阳东洲专卖),三号路,30.09173849,120.0509435,杭州市;富阳区,美食;其它美食, ,2124
331192,长腿欧巴年糕店,春秋北路165号,30.05929182,119.9395935,杭州市;富阳区,美食;火锅, ,3997
331453,至尊煲仔,戴家墩路105号,30.05919647,119.9370065,杭州市;富阳区,美食;中餐厅, ,3997
331858,浙江中医药大学中药饮片公司,东洲工业功能区三号路17,30.08213205,120.0609642,杭州市;富阳区,公司企业;公司企业,0571-87195915,2124
331885,元村,新登镇元村,29.98498105,119.6968043,杭州市;富阳区,地名地址;行政地名, ,2368
332011,传奇网吧,兴达路9-5,30.05976874,119.9412314,杭州市;富阳区,休闲娱乐;网吧,13868160042,3997
332137,品酷网咖,东洲商贸城54号1～2楼,30.0840581,120.0512038,杭州市;富阳区,休闲娱乐;网吧, ,2124
332245,富阳卓越网咖,文教路体育中心,30.04662011,119.9349298,杭州市;富阳区,休闲娱乐;网吧, ,3997
332407,红波网吧,红波路60,30.12938162,119.9616307,杭州市;富阳区,休闲娱乐;网吧, ,3997
332596,金典网吧,春秋南路141,30.04408028,119.9404836,杭州市;富阳区,休闲娱乐;网吧,18758580770,3997
332713,中信证券(桂花西路证券营业部),桂花西路82号6F,30.05145576,119.9427999,杭州市;富阳区,教育学校;证券公司,0571-61716058,3997
333253,金源网吧,文教路30-2,30.04650125,119.9342405,杭州市;富阳区,休闲娱乐;网吧, ,3997
333478,曼客网咖,江南路38号3层,30.01922771,119.9744909,杭州市;富阳区,休闲娱乐;网吧,0571-61736221,2124
333748,新缘网咖,前周路118号,30.06041685,119.9367867,杭州市;富阳区,休闲娱乐;网吧,18857189218,3997
333802,情缘网咖,东门东路22号,29.96980286,119.7322674,杭州市;富阳区,休闲娱乐;网吧,0571-63250305,2368
333874,跳跳网咖,金平路100,30.05354454,119.924967,杭州市;富阳区,休闲娱乐;网吧,15268196000,3997
334207,巅奔网吧,苋浦南路与苋浦路交叉口西北100米,30.04999616,119.9474732,杭州市;富阳区,休闲娱乐;网吧, ,3997
334612,御足轩会所,山燕宾馆(大源镇政府西北),30.00503871,120.0042164,杭州市;富阳区,休闲娱乐;洗浴推拿足疗,0571-63596555,2124
335251,糖果超市,富春路57-1,30.04941173,119.9538924,杭州市;富阳区,购物;超市,0571-63342093,3997
335314,糖果宝宝生活馆,东安路56附近,29.96500249,119.733208,杭州市;富阳区,购物;母婴儿童, ,2368
335404,新乐汇量贩KTV,新登镇金城路103号永莱利广场二楼,29.98106207,119.7335467,杭州市;富阳区,休闲娱乐;KTV,0571-63282555,2368
335422,极点网吧,星湾量贩式KTV(新登站西),29.96952257,119.7328575,杭州市;富阳区,休闲娱乐;网吧, ,2368
335431,雅尊今都宾馆KTV,高桥西路96号2F,30.09799961,119.9283912,杭州市;富阳区,休闲娱乐;KTV,0571-23233999,3997
335719,8号公馆景苑棋牌,恩波大道95-4号3楼,30.05569689,119.9471133,杭州市;富阳区,运动健身;游戏棋牌,0571-61775555,3997
335863,鼎红烟酒,文教路,30.03496129,119.9342714,杭州市;富阳区,购物;烟酒专卖, ,3997
335917,阿军汽车修理部,富春魅力东方宾馆东(恩波大道东),30.07219712,119.9420193,杭州市;富阳区,汽车;汽车维修,13588377659,3997
335971,麻雀馆棋牌,富春盛世豪门国际商务会所东,30.06423603,119.9372359,杭州市;富阳区,运动健身;游戏棋牌,18857110233,3997
336097,双塔村村委会(郎家庄),305省道西100米,29.95368103,119.7376503,杭州市;富阳区,机构团体;政府机关, ,2368
336160,杭州赫盾门业有限公司(下郎路),下郎路与新建路交叉口北50米,30.00624213,120.0030792,杭州市;富阳区,公司企业;公司企业,13906812323,2124
336250,广拓门业,大源镇郎家湾路3-7号,30.00149624,120.008396,杭州市;富阳区,购物;家具家居建材, ,2124
336322,大源人民医院-西南门,下郎路48号,30.00666312,120.00275,杭州市;富阳区,基础设施;门/出入口, ,2124
336340,浙江消防火门制造有限公司,下郎路,30.0079067,120.001563,杭州市;富阳区,公司企业;公司企业, ,2124
336349,德瑞博汽车,下郎路,30.00595243,120.0029795,杭州市;富阳区,汽车;汽车销售, ,2124
336385,阿郎手机维修,清幽弄1-1号,30.04948413,119.943629,杭州市;富阳区,生活服务;家政, ,3997
336583,迪君五金店,大源镇下郎路8号,30.00529133,120.0033486,杭州市;富阳区,购物;家具家居建材, ,2124
336655,星星面馆,中国邮政(下郎路东),30.00574222,120.0030493,杭州市;富阳区,美食;小吃快餐,13758174688,2124
336673,三盛铝材,富阳市大源人民医院东南50米(下郎路东),30.00633219,120.0030592,杭州市;富阳区,购物;家具家居建材,13868169902,2124
336691,三星阿兰德富阳销售二部,大源社区卫生服务中心西(下郎路西),30.00682438,120.0023311,杭州市;富阳区,购物;其它购物,0571-23226531,2124
336700,下郎路与永庆路交叉口, ,30.0047495,120.0039571,杭州市;富阳区,基础设施;路口, ,2124
336718,木质、钢质防火门配件及五金配件,下郎路73号附近,30.0074258,120.0018622,杭州市;富阳区,购物;家具家居建材,15888852854,2124
336727,亭山西路与下郎路交叉口, ,30.0047495,120.0039571,杭州市;富阳区,基础设施;路口, ,2124
336862,丰达门业,朝阳路120号,30.00818564,120.001912,杭州市;富阳区,购物;家具家居建材,0571-23206999,2124
336880,阿郎造型(新登镇新兴路店),新登镇新兴路99号,29.97161864,119.7234073,杭州市;富阳区,生活服务;美容美发,18868842608,2368
337546,科技艾灸养生馆,大源镇亭山东路167幸福家苑,30.00666148,120.0099816,杭州市;富阳区,生活服务;美容美发, ,2124
337582,安道尔美容养生SPA会所,桂花西路82号715所,30.05145576,119.9427999,杭州市;富阳区,生活服务;美容美发,13806529721,3997
337861,杭州宝岛眼镜,高科路198号对面,30.08746143,119.8957483,杭州市;富阳区,购物;眼镜店,15168316818,3997
337897,艾康经络理疗馆,金家桥160号,30.06229294,119.917009,杭州市;富阳区,医疗保健;其它医疗保健, ,3997
337915,艾炙理疗,桂花路,30.05094983,119.958783,杭州市;富阳区,医疗保健;其它医疗保健, ,3997
337951,紫薇星,东亭东路,30.00629246,119.999668,杭州市;富阳区,医疗保健;其它医疗保健, ,2124
338005,清水湾浴场(大源过镇线),兴源路与浦东路交叉口北50米,30.00954116,120.0100811,杭州市;富阳区,休闲娱乐;洗浴推拿足疗, ,2124
338014,北门盲人保健推拿,北门路25幢105室,30.05371244,119.9535726,杭州市;富阳区,休闲娱乐;洗浴推拿足疗, ,3997
338194,家春盲人推拿,富春富通小区(新兴路西),30.05461349,119.9439281,杭州市;富阳区,休闲娱乐;洗浴推拿足疗,0571-63347333; 13306518067,3997
338203,列军浴室,春江街道春江村镇江庙边10号,30.02881424,119.9648821,杭州市;富阳区,休闲娱乐;洗浴推拿足疗, ,2124
338212,春江村浴室,富春线春江村卫生室北60米路东,30.0242733,119.9614398,杭州市;富阳区,休闲娱乐;洗浴推拿足疗, ,2124
338221,大崔推拿,西堤南路91号,30.03924371,119.9386463,杭州市;富阳区,休闲娱乐;洗浴推拿足疗,15105818450,3997
338293,大姐盲人推拿,桂花西路240-2号,30.0511027,119.933321,杭州市;富阳区,休闲娱乐;洗浴推拿足疗,13255759823; 15990091652,3997
338401,晓平盲人推拿,西堤南路396,30.03738601,119.9373679,杭州市;富阳区,休闲娱乐;洗浴推拿足疗,13738116773,3997
338455,天河盲人推拿,体育馆路与迎春南路交叉口东北50米,30.04723782,119.9417617,杭州市;富阳区,休闲娱乐;洗浴推拿足疗, ,3997
338590,樱魅足浴养生馆,工农路15-102,30.0567581,119.9465341,杭州市;富阳区,休闲娱乐;洗浴推拿足疗, ,3997
338599,易善足浴,体育馆路488,30.04674398,119.9254573,杭州市;富阳区,休闲娱乐;洗浴推拿足疗,18757035552,3997
338734,大众浴室-东北门,王家宕路128号附近,30.03430026,120.0207634,杭州市;富阳区,基础设施;门/出入口, ,2124
339130,云鼎足浴,东安雅苑(东安路北),29.9649917,119.7350485,杭州市;富阳区,休闲娱乐;洗浴推拿足疗,0571-63286185,2368
339211,木马王国(东方茂店),横凉亭路6号东方茂购物中心D座1028A,30.05181012,119.9283451,杭州市;富阳区,休闲娱乐;游乐场,0571-63120381,3997
339400,蓝莲花足浴推拿棋牌,育才西路427号1幢(银泰斜对面),30.06159913,119.935448,杭州市;富阳区,休闲娱乐;洗浴推拿足疗,18258862516,3997
339805,东都足浴,东洲商贸城41号2楼,30.08380622,120.0522326,杭州市;富阳区,休闲娱乐;洗浴推拿足疗, ,2124
339940,富春琴行,春秋北路292-1～2号,30.0639557,119.9374257,杭州市;富阳区,购物;其它购物,0571-63339509,3997
339949,富春琴行集团,富春天河富春湾小区(文华路南),30.04035182,119.9396749,杭州市;富阳区,教育学校;培训, ,3997
339958,杭州市富阳区富春街道三桥村村民委员会,富春街道三桥村村民委员会,30.07053161,119.8982519,杭州市;富阳区,机构团体;政府机关, ,3997
339967,杭州市富阳区富春街道三联村村民委员会,富春街道三联村村民委员会,30.08326901,119.8863776,杭州市;富阳区,机构团体;政府机关, ,3997
339976,中共富阳区富春街道西邮村委员会,425县道西50米,30.04748277,119.8665344,杭州市;富阳区,机构团体;政府机关, ,3997
340012,文教鹿苑138号楼,富春文教鹿苑(富阳市富春中学西),30.03672317,119.9330924,杭州市;富阳区,建筑房产;住宅小区, ,3997
340021,浪漫香槟(东区),富春街道香槟路68号,30.05179524,119.91434,杭州市;富阳区,建筑房产;住宅小区, ,3997
340030,巨利新村,北环路,30.07162207,119.933609,杭州市;富阳区,建筑房产;住宅小区, ,3997
340039,秋月社区,桂花西路136,30.05114508,119.9378362,杭州市;富阳区,建筑房产;住宅小区, ,3997
340048,春秋北路, ,30.06612818,119.9359871,杭州市;富阳区,基础设施;道路名, ,3997
340057,幸福家园,金苑路128,30.05251664,119.923228,杭州市;富阳区,建筑房产;住宅小区, ,3997
340066,文教鹿苑,富春文教鹿苑(富春第七小学北),30.03519296,119.9332324,杭州市;富阳区,建筑房产;住宅小区, ,3997
340075,康乐新居,富春康乐新居(西堤路西),30.04823628,119.9425505,杭州市;富阳区,建筑房产;住宅小区, ,3997
340093,东吴商城,菜市街1号(桂花西路与春秋南路交界处),30.05038219,119.9394344,杭州市;富阳区,建筑房产;其它房产小区, ,3997
340102,大润发商贸城,康月路185号,30.05413774,119.9362977,杭州市;富阳区,建筑房产;商务楼宇, ,3997
340111,百合春秋苑,春秋北路169弄38号,30.05960506,119.9378056,杭州市;富阳区,建筑房产;住宅小区, ,3997
340120,人和园,富春人和园(郁达夫公园西北),30.05008521,119.952395,杭州市;富阳区,建筑房产;住宅小区, ,3997
340129,高尔夫路, ,30.08698267,119.9760416,杭州市;富阳区,基础设施;道路名, ,3997
340138,金平路, ,30.05343497,119.9246172,杭州市;富阳区,基础设施;道路名, ,3997
340147,富春街道巨利村卫生室,迎宾北路129号,30.07255495,119.9378045,杭州市;富阳区,医疗保健;诊所, ,3997
340156,富阳区公安局城东派出所,恩波大道127,30.05662293,119.9489403,杭州市;富阳区,机构团体;公检法机构,0571-63373911,3997
340165,桂花西路与西堤北路交叉口, ,30.05095003,119.9456359,杭州市;富阳区,基础设施;路口, ,3997
340183,亚克西商务中心,迎宾北路307号,30.09004608,119.9370639,杭州市;富阳区,建筑房产;商务楼宇, ,3997
340192,杭州市富阳区水利水电局,西堤北路55,30.05442471,119.9481318,杭州市;富阳区,机构团体;政府机关, ,3997
340201,江南中草药肿瘤研究所,文居街258,30.06286157,119.939713,杭州市;富阳区,机构团体;科研机构, ,3997
340210,新疆维吾尔自治区人民政府驻浙江办事处,花坞北路6,30.05895569,119.960399,杭州市;富阳区,机构团体;政府机关, ,3997
340219,易世达实业,高尔夫路168号,30.09188192,119.9577915,杭州市;富阳区,公司企业;公司企业, ,3997
340228,富阳城东客运站,富春迎宾北路富阳城东客运站,30.06295708,119.9469929,杭州市;富阳区,基础设施;长途汽车站, ,3997
340237,新桥村,银湖街道新桥村,30.08799467,119.9318493,杭州市;富阳区,地名地址;行政地名, ,3997
340246,凤浦路与孙权路交叉口, ,30.05566906,119.9355184,杭州市;富阳区,基础设施;路口, ,3997
340255,中国电信(春秋南路营业厅),春秋南路18-6,30.04733129,119.939934,杭州市;富阳区,生活服务;通讯服务,0571-63345440,3997
340264,陆家岭,银湖街道陆家岭,30.09068929,119.9627615,杭州市;富阳区,地名地址;行政地名, ,3997
340273,江南国际商城,大桥南路288,30.02268881,119.9775632,杭州市;富阳区,购物;家具家居建材,0571-63311110,2124
340282,建设村菜市场,春江建设村菜市场(大桥南路南),30.03577649,119.9677353,杭州市;富阳区,购物;农贸市场, ,2124
340291,桂花西路与田园路交叉口, ,30.05092504,119.9378562,杭州市;富阳区,基础设施;路口, ,3997
340300,富阳卷烟销售部,恩波大道526,30.06144612,119.9474523,杭州市;富阳区,购物;烟酒专卖,0571-63317886,3997
340309,花坞南路, ,30.05022244,119.9577351,杭州市;富阳区,基础设施;道路名, ,3997
340318,富阳城东商贸市场陶瓷品区三区,恩波大道664,30.06445871,119.9462139,杭州市;富阳区,购物;家具家居建材, ,3997
340327,富阳区人民法院审判庭,春秋北路282号人民法院,30.06304306,119.938904,杭州市;富阳区,机构团体;公检法机构, ,3997
340336,中国建设银行(富阳城北支行),春秋北路341,30.06503803,119.9360771,杭州市;富阳区,银行金融;银行, ,3997
340345,奥克光电设备公司,高尔夫路197,30.08907652,119.9675513,杭州市;富阳区,公司企业;公司企业,0571-63312372,3997
340354,青丹鞋业(富阳店),桂花路56号,30.0515471,119.9515663,杭州市;富阳区,购物;服饰鞋包,13738012281,3997
340363,金凤路, ,30.05522642,119.9308928,杭州市;富阳区,基础设施;道路名, ,3997
340372,文采路, ,30.06584057,119.9345586,杭州市;富阳区,基础设施;道路名, ,3997
340381,建俞线, ,30.03558942,119.9549116,杭州市;富阳区,基础设施;道路名, ,2124
340390,西临路, ,30.04513933,119.9409829,杭州市;富阳区,基础设施;道路名, ,3997
340399,杭州市富阳区国税局办税服务厅,恩波大道99,30.05617285,119.9489803,杭州市;富阳区,机构团体;工商税务机构, ,3997
340408,南都造型(苋浦路店),苋浦路11-3,30.05221509,119.9479622,杭州市;富阳区,生活服务;美容美发,0571-63102345,3997
340417,皓月座,桂花西路1弄8幢,30.04972704,119.9470638,杭州市;富阳区,建筑房产;住宅小区, ,3997
340426,浙江振和大药房连锁有限公司广济店,富春富阳市中医骨伤科医院西(桂花西路南),30.05069879,119.9412421,杭州市;富阳区,医疗保健;药房药店, ,3997
340435,杭州富阳清洗服务公司,春秋北路55号,30.05527255,119.9392143,杭州市;富阳区,公司企业;公司企业, ,3997
340444,天地钢构,高尔夫路238号,30.08694084,119.9731884,杭州市;富阳区,公司企业;公司企业, ,3997
340453,中国光大银行(杭州富阳支行),文教北路73号,30.05237114,119.93428,杭州市;富阳区,银行金融;银行,0571-61761718,3997
340462,乔尼造型(肖邦店),文教路136,30.04067124,119.9342709,杭州市;富阳区,生活服务;美容美发,15967197066,3997
340471,富阳区富春公路管理站,大盘山路西50米,30.0434122,119.9268567,杭州市;富阳区,机构团体;政府机关, ,3997
340480,富阳市食品酿造有限责任公司,兴达路51,30.06387052,119.9402723,杭州市;富阳区,公司企业;公司企业,0571-63376799,3997
